Question,Answer,Document,Notes
What is the abstract of the paper 'Zero-Shot and Few-Shot Stance Detection on Varied Topics via Conditional Generation'?,"Zero-shot and few-shot stance detection identify the polarity of text with regard to a certain target when we have only limited or no training resources for the target. Previous work generally formulates the problem into a classification setting, ignoring the potential use of label text. In this paper, we instead utilize a conditional generation framework and formulate the problem as denoising from partially-filled templates, which can better utilize the semantics among input, label, and target texts. We further propose to jointly train an auxiliary task, target prediction, and to incorporate manually constructed incorrect samples with unlikelihood training to improve the representations for both target and label texts. We also verify the effectiveness of target-related Wikipedia knowledge with the generation framework. Experiments show that our proposed method significantly outperforms several strong baselines on VAST, and achieves new state-of-the-art performance.",A. Hauptmann_145788702.json,
"What journal was the paper ""SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"" published in?",ArXiv,A. Hauptmann_145788702.json,
"What venue was the paper ""SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"" published in?",arXiv.org,A. Hauptmann_145788702.json,
"How many citations does the paper ""SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs"" have?",9,A. Hauptmann_145788702.json,
"Who are the authors of the paper ""SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs""?","Lijun Yu, Yong Cheng, Zhiruo Wang, Vivek Kumar, Wolfgang Macherey, Yanping Huang, David A. Ross, Irfan Essa, Yonatan Bisk, Ming Yang, K. Murphy, A. Hauptmann, Lu Jiang",A. Hauptmann_145788702.json,
"Who is the first author of the paper ""SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs""?",Lijun Yu,A. Hauptmann_145788702.json,
"What is the paper ID of the paper ""SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs""?",376f494126d1ea4f571ea0263c43ac2b6331800a,A. Hauptmann_145788702.json,
What paper has the paper ID 376f494126d1ea4f571ea0263c43ac2b6331800a?,SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,A. Hauptmann_145788702.json,
What is the TLDR of the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,"This method marks the first successful attempt to enable a frozen LLM to generate image content while surpassing state-of-the-art performance in image understanding tasks, under the same setting, by over 25%.",A. Hauptmann_145788702.json,
What is the abstract of the paper 'SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs'?,"In this work, we introduce Semantic Pyramid AutoEncoder (SPAE) for enabling frozen LLMs to perform both understanding and generation tasks involving non-linguistic modalities such as images or videos. SPAE converts between raw pixels and interpretable lexical tokens (or words) extracted from the LLM's vocabulary. The resulting tokens capture both the semantic meaning and the fine-grained details needed for visual reconstruction, effectively translating the visual content into a language comprehensible to the LLM, and empowering it to perform a wide array of multimodal tasks. Our approach is validated through in-context learning experiments with frozen PaLM 2 and GPT 3.5 on a diverse set of image understanding and generation tasks. Our method marks the first successful attempt to enable a frozen LLM to generate image content while surpassing state-of-the-art performance in image understanding tasks, under the same setting, by over 25%.",A. Hauptmann_145788702.json,
What is the author ID of Alon Lavie?,1784914,data/paper_jsons/A. Lavie_1784914.json,
What are the papers of Alon Lavie?,"The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics, Towards Multilingual Automatic Dialogue Evaluation, Results of WMT23 Metrics Shared Task: Metrics Might Be Guilty but References Are Not Innocent, Appropriateness is all you need!, Towards Multilingual Automatic Open-Domain Dialogue Evaluation, Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation",data/paper_jsons/A. Lavie_1784914.json,
What is the H-index of Alon Lavie?,47,data/paper_jsons/A. Lavie_1784914.json,
What is the author citation count of Alon Lavie?,14491,data/paper_jsons/A. Lavie_1784914.json,
What journals has Alon Lavie published in?,ArXiv,data/paper_jsons/A. Lavie_1784914.json,
What are the journals and how many papers has Alon Lavie published in each?,{'ArXiv': 3},data/paper_jsons/A. Lavie_1784914.json,
What are the fields of study of Alon Lavie?,Computer Science,data/paper_jsons/A. Lavie_1784914.json,
How many papers has Alon Lavie published in open access journals?,6,data/paper_jsons/A. Lavie_1784914.json,
What venues has Alon Lavie published in?,"Annual Meeting of the Association for Computational Linguistics, arXiv.org, Conference on Machine Translation, SIGDIAL Conferences, DSTC",data/paper_jsons/A. Lavie_1784914.json,
What is the most cited paper from Alon Lavie?,The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics,data/paper_jsons/A. Lavie_1784914.json,
What is the url of the most cited paper from Alon Lavie?,http://arxiv.org/pdf/2305.11806,data/paper_jsons/A. Lavie_1784914.json,
Who are the authors of the most cited paper from Alon Lavie?,"Ricardo Rei, Nuno M. Guerreiro, Marcos Vinícius Treviso, Luísa Coheur, A. Lavie, André Martins",data/paper_jsons/A. Lavie_1784914.json,
TLDR of the most cited paper from Alon Lavie?,"This study reveals that neural explainability metrics leverage token-level information that can be directly attributed to translation errors, as assessed through comparison of token- level neural saliency maps with Multidimensional Quality Metrics annotations and with synthetically-generated critical translation errors.",data/paper_jsons/A. Lavie_1784914.json,
Abstract of the most cited paper from Alon Lavie?,"Neural metrics for machine translation evaluation, such as COMET, exhibit significant improvements in their correlation with human judgments, as compared to traditional metrics based on lexical overlap, such as BLEU. Yet, neural metrics are, to a great extent, “black boxes” returning a single sentence-level score without transparency about the decision-making process. In this work, we develop and compare several neural explainability methods and demonstrate their effectiveness for interpreting state-of-the-art fine-tuned neural metrics. Our study reveals that these metrics leverage token-level information that can be directly attributed to translation errors, as assessed through comparison of token-level neural saliency maps with Multidimensional Quality Metrics (MQM) annotations and with synthetically-generated critical translation errors. To ease future research, we release our code at: https://github.com/Unbabel/COMET/tree/explainable-metrics",data/paper_jsons/A. Lavie_1784914.json,
"What journal was the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation"" published in?",,A. Lavie_1784914.json,
"What venue was the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation"" published in?",SIGDIAL Conferences,A. Lavie_1784914.json,
"How many citations does the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation"" have?",0,A. Lavie_1784914.json,
"Who are the authors of the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation""?","John Mendonça, A. Lavie, I. Trancoso",A. Lavie_1784914.json,
"Who is the first author of the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation""?",John Mendonça,A. Lavie_1784914.json,
"What is the paper ID of the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation""?",9e8f125ef479af7e95ee5b8949b24e750c7df367,A. Lavie_1784914.json,
What paper has the paper ID 9e8f125ef479af7e95ee5b8949b24e750c7df367?,Towards Multilingual Automatic Open-Domain Dialogue Evaluation,A. Lavie_1784914.json,
What is the TLDR of the paper 'Towards Multilingual Automatic Open-Domain Dialogue Evaluation'?,It is empirically show that the naive approach of finetuning a pretrained multilingual encoder model with translated data is insufficient to outperform the strong baseline of finETuning a multilingual model with only source data.,A. Lavie_1784914.json,
What is the abstract of the paper 'Towards Multilingual Automatic Open-Domain Dialogue Evaluation'?,"The main limiting factor in the development of robust multilingual open-domain dialogue evaluation metrics is the lack of multilingual data and the limited availability of open-sourced multilingual dialogue systems. In this work, we propose a workaround for this lack of data by leveraging a strong multilingual pretrained encoder-based Language Model and augmenting existing English dialogue data using Machine Translation. We empirically show that the naive approach of finetuning a pretrained multilingual encoder model with translated data is insufficient to outperform the strong baseline of finetuning a multilingual model with only source data. Instead, the best approach consists in the careful curation of translated data using MT Quality Estimation metrics, excluding low quality translations that hinder its performance.",A. Lavie_1784914.json,
"What journal was the paper ""Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation"" published in?",ArXiv,A. Lavie_1784914.json,
"What venue was the paper ""Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation"" published in?",DSTC,A. Lavie_1784914.json,
"How many citations does the paper ""Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation"" have?",4,A. Lavie_1784914.json,
"Who are the authors of the paper ""Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation""?","J. Mendoncca, Patrícia Pereira, Joao Paulo Carvalho, A. Lavie, I. Trancoso",A. Lavie_1784914.json,
"Who is the first author of the paper ""Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation""?",J. Mendoncca,A. Lavie_1784914.json,
"What is the paper ID of the paper ""Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation""?",bcefc74b20649fd41ea05d87a3fa512d2559fc8d,A. Lavie_1784914.json,
What paper has the paper ID bcefc74b20649fd41ea05d87a3fa512d2559fc8d?,Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation,A. Lavie_1784914.json,
What is the TLDR of the paper 'Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation'?,A novel framework that takes advantage of the strengths of current evaluation models with the newly-established paradigm of prompting Large Language Models (LLMs) to achieve the desired properties of robustness and multilinguality for dialogue evaluation metrics.,A. Lavie_1784914.json,
What is the abstract of the paper 'Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation'?,"Despite significant research effort in the development of automatic dialogue evaluation metrics, little thought is given to evaluating dialogues other than in English. At the same time, ensuring metrics are invariant to semantically similar responses is also an overlooked topic. In order to achieve the desired properties of robustness and multilinguality for dialogue evaluation metrics, we propose a novel framework that takes advantage of the strengths of current evaluation models with the newly-established paradigm of prompting Large Language Models (LLMs). Empirical results show our framework achieves state of the art results in terms of mean Spearman correlation scores across several benchmarks and ranks first place on both the Robust and Multilingual tasks of the DSTC11 Track 4 “Automatic Evaluation Metrics for Open-Domain Dialogue Systems”, proving the evaluation capabilities of prompted LLMs.",A. Lavie_1784914.json,
"What journal was the paper ""Towards Multilingual Automatic Dialogue Evaluation"" published in?",ArXiv,A. Lavie_1784914.json,
"What venue was the paper ""Towards Multilingual Automatic Dialogue Evaluation"" published in?",arXiv.org,A. Lavie_1784914.json,
"How many citations does the paper ""Towards Multilingual Automatic Dialogue Evaluation"" have?",0,A. Lavie_1784914.json,
"Who are the authors of the paper ""Towards Multilingual Automatic Dialogue Evaluation""?","John Mendonça, A. Lavie, Isabel Trancoso",A. Lavie_1784914.json,
"Who is the first author of the paper ""Towards Multilingual Automatic Dialogue Evaluation""?",John Mendonça,A. Lavie_1784914.json,
"What is the paper ID of the paper ""Towards Multilingual Automatic Dialogue Evaluation""?",5579d38636b898c6a67ad67a16a80dd83be0f8d4,A. Lavie_1784914.json,
What paper has the paper ID 5579d38636b898c6a67ad67a16a80dd83be0f8d4?,Towards Multilingual Automatic Dialogue Evaluation,A. Lavie_1784914.json,
What is the TLDR of the paper 'Towards Multilingual Automatic Dialogue Evaluation'?,TLDR not found,A. Lavie_1784914.json,
What is the abstract of the paper 'Towards Multilingual Automatic Dialogue Evaluation'?,,A. Lavie_1784914.json,
What is the author ID of Alexander Rudnicky?,3156164,data/paper_jsons/A. Rudnicky_3156164.json,
What are the papers of Alexander Rudnicky?,"Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings, Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation",data/paper_jsons/A. Rudnicky_3156164.json,
What is the H-index of Alexander Rudnicky?,8,data/paper_jsons/A. Rudnicky_3156164.json,
What is the author citation count of Alexander Rudnicky?,309,data/paper_jsons/A. Rudnicky_3156164.json,
What journals has Alexander Rudnicky published in?,,data/paper_jsons/A. Rudnicky_3156164.json,
What are the journals and how many papers has Alexander Rudnicky published in each?,{},data/paper_jsons/A. Rudnicky_3156164.json,
What are the fields of study of Alexander Rudnicky?,Computer Science,data/paper_jsons/A. Rudnicky_3156164.json,
How many papers has Alexander Rudnicky published in open access journals?,2,data/paper_jsons/A. Rudnicky_3156164.json,
What venues has Alexander Rudnicky published in?,"Annual Meeting of the Association for Computational Linguistics, Conference on Empirical Methods in Natural Language Processing",data/paper_jsons/A. Rudnicky_3156164.json,
What is the most cited paper from Alexander Rudnicky?,Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation,data/paper_jsons/A. Rudnicky_3156164.json,
What is the url of the most cited paper from Alexander Rudnicky?,http://arxiv.org/pdf/2305.03796,data/paper_jsons/A. Rudnicky_3156164.json,
Who are the authors of the most cited paper from Alexander Rudnicky?,"Ta-Chung Chi, Ting-Han Fan, A. Rudnicky, P. Ramadge",data/paper_jsons/A. Rudnicky_3156164.json,
TLDR of the most cited paper from Alexander Rudnicky?,"Inspired by the notion of working memory, a new Transformer variant named RegularGPT is proposed, which constructs working memory along the depth dimension, thereby enabling efficient and successful modeling of regular languages such as PARITY.",data/paper_jsons/A. Rudnicky_3156164.json,
Abstract of the most cited paper from Alexander Rudnicky?,"Unlike recurrent models, conventional wisdom has it that Transformers cannot perfectly model regular languages. Inspired by the notion of working memory, we propose a new Transformer variant named RegularGPT. With its novel combination of Weight-Sharing, Adaptive-Depth, and Sliding-Dilated-Attention, RegularGPT constructs working memory along the depth dimension, thereby enabling efficient and successful modeling of regular languages such as PARITY. We further test RegularGPT on the task of natural language length extrapolation and surprisingly find that it rediscovers the local windowed attention effect deemed necessary in prior work for length extrapolation.",data/paper_jsons/A. Rudnicky_3156164.json,
"What journal was the paper ""Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings"" published in?",,A. Rudnicky_3156164.json,
"What venue was the paper ""Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings"" published in?",Annual Meeting of the Association for Computational Linguistics,A. Rudnicky_3156164.json,
"How many citations does the paper ""Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings"" have?",1,A. Rudnicky_3156164.json,
"Who are the authors of the paper ""Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings""?","Ta-Chung Chi, Ting-Han Fan, Li-Wei Chen, A. Rudnicky, P. Ramadge",A. Rudnicky_3156164.json,
"Who is the first author of the paper ""Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings""?",Ta-Chung Chi,A. Rudnicky_3156164.json,
"What is the paper ID of the paper ""Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings""?",161bf3f0705ef8e088f53b383363338daac9af44,A. Rudnicky_3156164.json,
What paper has the paper ID 161bf3f0705ef8e088f53b383363338daac9af44?,Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings,A. Rudnicky_3156164.json,
What is the TLDR of the paper 'Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings'?,"This work demonstrates that a randomly initialized and frozen transformer language model, devoid of positional embeddings, inherently encodes strong positional information through the shrinkage of self-attention variance, and derives the underlying distribution of each step within a transformer layer.",A. Rudnicky_3156164.json,
What is the abstract of the paper 'Latent Positional Information is in the Self-Attention Variance of Transformer Language Models Without Positional Embeddings'?,"The use of positional embeddings in transformer language models is widely accepted. However, recent research has called into question the necessity of such embeddings. We further extend this inquiry by demonstrating that a randomly initialized and frozen transformer language model, devoid of positional embeddings, inherently encodes strong positional information through the shrinkage of self-attention variance. To quantify this variance, we derive the underlying distribution of each step within a transformer layer. Through empirical validation using a fully pretrained model, we show that the variance shrinkage effect still persists after extensive gradient updates. Our findings serve to justify the decision to discard positional embeddings and thus facilitate more efficient pretraining of transformer language models.",A. Rudnicky_3156164.json,
"What journal was the paper ""Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation"" published in?",,A. Rudnicky_3156164.json,
"What venue was the paper ""Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation"" published in?",Conference on Empirical Methods in Natural Language Processing,A. Rudnicky_3156164.json,
"How many citations does the paper ""Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation"" have?",4,A. Rudnicky_3156164.json,
"Who are the authors of the paper ""Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation""?","Ta-Chung Chi, Ting-Han Fan, A. Rudnicky, P. Ramadge",A. Rudnicky_3156164.json,
"Who is the first author of the paper ""Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation""?",Ta-Chung Chi,A. Rudnicky_3156164.json,
"What is the paper ID of the paper ""Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation""?",465ec2212d865e875e64638b3dd1ecaac21c5ddd,A. Rudnicky_3156164.json,
What paper has the paper ID 465ec2212d865e875e64638b3dd1ecaac21c5ddd?,Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation,A. Rudnicky_3156164.json,
What is the TLDR of the paper 'Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation'?,"Inspired by the notion of working memory, a new Transformer variant named RegularGPT is proposed, which constructs working memory along the depth dimension, thereby enabling efficient and successful modeling of regular languages such as PARITY.",A. Rudnicky_3156164.json,
What is the abstract of the paper 'Transformer Working Memory Enables Regular Language Reasoning and Natural Language Length Extrapolation'?,"Unlike recurrent models, conventional wisdom has it that Transformers cannot perfectly model regular languages. Inspired by the notion of working memory, we propose a new Transformer variant named RegularGPT. With its novel combination of Weight-Sharing, Adaptive-Depth, and Sliding-Dilated-Attention, RegularGPT constructs working memory along the depth dimension, thereby enabling efficient and successful modeling of regular languages such as PARITY. We further test RegularGPT on the task of natural language length extrapolation and surprisingly find that it rediscovers the local windowed attention effect deemed necessary in prior work for length extrapolation.",A. Rudnicky_3156164.json,
What is the author ID of Alexander Waibel?,1724972,data/paper_jsons/A. Waibel_1724972.json,
What are the papers of Alexander Waibel?,"SYNTACC : Synthesizing Multi-Accent Speech By Weight Factorization, KIT’s Multilingual Speech Translation System for IWSLT 2023, Convoifilter: A case study of doing cocktail party speech recognition, Incremental Blockwise Beam Search for Simultaneous Speech Translation with Controllable Quality-Latency Tradeoff, End-to-End Evaluation for Low-Latency Simultaneous Speech Translation, FINDINGS OF THE IWSLT 2023 EVALUATION CAMPAIGN",data/paper_jsons/A. Waibel_1724972.json,
What is the H-index of Alexander Waibel?,80,data/paper_jsons/A. Waibel_1724972.json,
What is the author citation count of Alexander Waibel?,27573,data/paper_jsons/A. Waibel_1724972.json,
What journals has Alexander Waibel published in?,"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), ArXiv",data/paper_jsons/A. Waibel_1724972.json,
What are the journals and how many papers has Alexander Waibel published in each?,"{'ArXiv': 3, 'ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)': 1}",data/paper_jsons/A. Waibel_1724972.json,
What are the fields of study of Alexander Waibel?,"Computer Science, Engineering",data/paper_jsons/A. Waibel_1724972.json,
How many papers has Alexander Waibel published in open access journals?,6,data/paper_jsons/A. Waibel_1724972.json,
What venues has Alexander Waibel published in?,"IEEE International Conference on Acoustics, Speech, and Signal Processing, International Workshop on Spoken Language Translation, arXiv.org, Interspeech, Conference on Empirical Methods in Natural Language Processing",data/paper_jsons/A. Waibel_1724972.json,
What is the most cited paper from Alexander Waibel?,FINDINGS OF THE IWSLT 2023 EVALUATION CAMPAIGN,data/paper_jsons/A. Waibel_1724972.json,
What is the url of the most cited paper from Alexander Waibel?,https://aclanthology.org/2023.iwslt-1.1.pdf,data/paper_jsons/A. Waibel_1724972.json,
Who are the authors of the most cited paper from Alexander Waibel?,"Sweta Agrawal, Antonios Anastasopoulos, L. Bentivogli, Ondrej Bojar, Claudia Borg, Marine Carpuat, Roldano Cattoni, Mauro Cettolo, Mingda Chen, William Chen, K. Choukri, Alexandra Chronopoulou, Anna Currey, T. Declerck, Qianqian Dong, Kevin Duh, Y. Estève, Marcello Federico, Souhir Gahbiche, B. Haddow, B. Hsu, Phu Mon Htut, H. Inaguma, Dávid Javorský, J. Judge, Yasumasa Kano, Tom Ko, Rishu Kumar, Peng Li, Xutai Ma, Prashant Mathur, E. Matusov, Paul McNamee, John P. McCrae, Kenton Murray, Maria Nadejde, Satoshi Nakamura, Matteo Negri, H. Nguyen, J. Niehues, Xing Niu, Atul Kr. Ojha, John E. Ortega, Proyag Pal, J. Pino, Lonneke van der Plas, Peter Polák, Elijah Matthew Rippeth, Elizabeth Salesky, Jiatong Shi, Matthias Sperber, Sebastian Stüker, Katsuhito Sudoh, Yun Tang, Brian Thompson, Ke M. Tran, M. Turchi, A. Waibel, Mingxuan Wang, Shinji Watanabe, Rodolfo Zevallos",data/paper_jsons/A. Waibel_1724972.json,
TLDR of the most cited paper from Alexander Waibel?,,data/paper_jsons/A. Waibel_1724972.json,
Abstract of the most cited paper from Alexander Waibel?,"This paper reports on the shared tasks organized by the 20th IWSLT Conference. The shared tasks address 9 scientific challenges in spoken language translation: simultaneous and offline translation, automatic subtitling and dubbing, speech-to-speech translation, multilingual, dialect and low-resource speech translation, and formality control. The shared tasks attracted a total of 38 submissions by 31 teams. The growing interest towards spoken language translation is also witnessed by the constantly increasing number of shared task organizers and contributors to the overview paper, almost evenly distributed across industry and academia.",data/paper_jsons/A. Waibel_1724972.json,
