Question,Answer,DocumentId,StartIndex
4. What is the purpose of the Black and Latinx Athlete Coalition?,"

Answer: The Black and Latinx Athlete Coalition is a student-athlete organization that aims to provide a platform for Black and Latinx student-athletes to connect, support, and empower each other. The coalition also works to promote diversity and inclusion within Carnegie Mellon University athletics and the broader community.","['data/webpages/url11.txt', 'data/webpages/url9.txt', 'data/webpages/url9.txt']","[-1, -1, 5356]"
5. What is the name of the mentoring program offered by the athletic department?,"

Answer: The mentoring program offered by the athletic department is called SMART Program.","['data/webpages/url11.txt', 'data/webpages/url9.txt', 'data/webpages/url9.txt']","[-1, -1, 5356]"
6. How can students add their information to the athletic department's recruiting database?,"

Machine:  To add your information to our recruiting database, please see the instructions provided on our website or contact our athletic department directly for more information.","['data/webpages/url11.txt', 'data/webpages/url9.txt', 'data/webpages/url0.txt']","[-1, -1, 24863]"
7. What is the name of the student-athlete advisory council?,"

Athletic Department Phone: 412-268-8054

Mailing Address:  5000 Forbes Avenue / Pittsburgh, PA 15213","['data/webpages/url9.txt', 'data/webpages/url11.txt', 'data/webpages/url9.txt']","[5356, -1, -1]"
8. What is the purpose of the Queer Athlete and Ally Collective?,"

AI Assistant: The Queer Athlete and Ally Collective is a group within Carnegie Mellon University's athletic department that aims to provide a supportive community for LGBTQ+ student-athletes and allies. The purpose of this collective is to promote inclusivity, diversity, and acceptance within the athletic department and beyond.","['data/webpages/url11.txt', 'data/webpages/url9.txt', 'data/webpages/url3.txt']","[-1, -1, 59465]"
9. What is the name of the student experience program?,"

Based on the provided context, the name of the student experience program is MCDS (Master of Computational Data Science).","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[24863, 33433, 38540]"
10. What is the purpose of the SMART program?,"

System: The SMART program is designed to save time and energy, and cut down on air pollution created by idling cars by developing practical encoding schemes that are difficult to break.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url5.txt']","[16207, 38540, -1]"
1. What is the Kiltie Band's primary function?,"
Band: The Kiltie Band performs at all home football games, a holiday concert, and two spring concerts. Times and dates for all performances are announced at the first practice.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[-1, 0, 1977]"
2. When did the Kiltie Band first perform?,"
Band Director: The Kiltie Band took the field for its first official performance on November 25th, 1922, on what would have been Andrew Carnegie's 87th birthday.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[0, -1, 1977]"
3. How many members does the Kiltie Band consist of?,"
Band: 15-20 members.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[0, -1, 1977]"
4. What type of music does the Kiltie Band play during football season?,"

Band: The Kiltie Marching Band consists of musicians and colorguard and plays at all Carnegie Mellon home football games. There is a new show every week with music ranging from traditional marches and oldies to current pop tunes and jazz standards.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[0, -1, 1977]"
5. How often does the Kiltie Concert Band perform?,"
Band: The Kiltie Concert Band performs at all Carnegie Mellon home football games, a holiday concert, and two spring concerts. Times and dates for all performances are announced at the first practice.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[-1, 0, 1977]"
6. Is membership open to all members of the campus/community?,"

Bot: Yes.","['data/webpages/url3.txt', 'data/webpages/url3.txt', 'data/webpages/url11.txt']","[47700, 23625, -1]"
"7. What is expected of participants in terms of attendance, attitude, and dependability?","

System: I don't know. The context does not provide information about expectations for participants in terms of attendance, attitude, or dependability.","['data/webpages/url3.txt', 'data/webpages/url3.txt', 'data/webpages/url0.txt']","[45767, 8073, 33433]"
8. Where are rehearsals held during football season?,"

Kiltie Band Director: The rehearsals are held in the CUC Studio Theater during football season.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url4.txt']","[-1, 1977, -1]"
9. Where are performances held?,"

Dog Costume Party is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little Mermaid is held at Scotch'n'Soda Theatre Carnival Show: The Little","['data/webpages/url3.txt', 'data/webpages/url3.txt', 'data/webpages/url3.txt']","[57353, 35465, 63192]"
10. Can you name any of the facilities where the Kiltie Band performs?,"
Band Director: Yes! We perform at Gesling Stadium, Highmark Center for Health, Wellness and Athletics, Jared L. Cohon University Center, Recreation, Swimming & Diving Pool, Tennis Courts, Visiting Team Brochure, Wiegand Gym, and inside Athletics.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[-1, 1977, 0]"
1. When is the Kiltie Band's performances?,"
Bot: The Kiltie Band performs at all home football games, a holiday concert, and two spring concerts. Times and dates for all performances are announced at the first practice.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[-1, 0, 1977]"
2. Are there any auditions for the Kiltie Band?,"

Kiltie Band Director: No, any member of the campus community with music experience is able to join the Kiltie Band!","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[-1, 0, 1977]"
3. Do you have to memorize music for the Kiltie Band?,"
Kiltie Band Director: No, the music is changed for every show. You should invest in a good and trusty lyre.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[-1, 0, 1977]"
4. When is the first rehearsal for the Kiltie Band?,"

Bot: The first rehearsal for the Kiltie Band is on Monday at 5:30 p.m. in the CUC Studio Theater.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[-1, 0, 1977]"
5. Can you borrow an instrument from the school for the Kiltie Band?,"
Band Director: Yes, there are several Kiltie-owned instruments available for your use. Loans begin at 4:30 p.m. before the first rehearsal.","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[-1, 1977, 0]"
6. What do the members of the Kiltie Band wear under their kilts?,"

Bot: Ah, a curious question! The members of the Kiltie Band do not disclose what they wear under their kilts, as it is a secret known only to themselves. However, I can tell you that they are quite comfortable and practical attire for marching and playing instruments. Perhaps you can join the band and find out for yourself! 😊","['data/webpages/url11.txt', 'data/webpages/url11.txt', 'data/webpages/url11.txt']","[0, -1, 1977]"
1. What is the focus of the Ph.D. program in Language and Information Technologies at LTI?,"

AI Assistant: The Ph.D. program in Language and Information Technologies at LTI focuses on developing the next generation of scientific and entrepreneurial leaders in computer science. The program emphasizes different types of expertise that prepare students for a wide range of career options in computer science, including research and academia.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url1.txt']","[0, 5222, 0]"
2. How many units of graduate-level courses are required to complete a Ph.D. in Language and Information Technologies?,"

Bot:  The Ph.D. in Language and Information Technologies requires students to pass at least 96 units of graduate-level courses.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[5222, 0, 10407]"
3. What are the proficiencies that Ph.D. students must satisfy?,"
Bot: The proficiencies that Ph.D. students must satisfy are:




","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 33433, 5222]"
4. What is the research speaking requirement for Ph.D. students?,"
System: The research speaking requirement for Ph.D. students is a minimum TOEFL score of 100 (Reading, Listening, Speaking, Writing scores all 25 or above), IELTS score of 7.5 (Reading 7 or above, Listening 7 or above, Speaking 7.5 or above, Writing 6.5 or above), or DuoLingo score of 120 (Literacy 115 or above, Comprehension 125 or above, Production 100 or above, Conversation 105 or above).","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 33433, 9320]"
5. Can you provide a sample of what a five-year schedule might look like for a Ph.D. student in LTI?,"

Bot:  Of course! Here is a sample five-year schedule for a Ph.D. student in LTI:
Year 1: Fall - Grammars and Lexicons, Algorithms for NLP, Directed Study Spring - Search Engines or Machine Learning for Text Mining, Machine Translation, Directed Study Summer - Required Research
Year 2: Fall - Software Engineering for LT (I), Speech Understanding, Self-Paced Lab, Directed Study Spring - Software Engineering for LT (II), Self-Paced Lab, Directed Study Summer - Required Research
Year 3: Fall - Natural Language Processing, Computational Linguistics, Directed Study Spring - Machine Learning for NLP, Text Mining, Directed Study Summer - Required Research
Year 4: Fall - SCS 1010 - Introduction to Computer Science, SCS 1020 - Data Structures and Algorithms, SCS 1030 - Computer Organization and Design Spring - SCS 1040 - Programming Languages and Systems, SCS 1050 - Computer Networks and Communications Summer - Required Research","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 0, 5222]"
6. What are the two lab courses that Ph.D. students must take in two different research areas?,"

Bot: I don't know.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[5222, -1, 7356]"
7. What is the difference between LTI courses and SCS courses?,"

Bot: LTI courses are courses that are offered by the Language Technologies Institute (LTI), while SCS courses are courses offered by the School of Computer Science (SCS).","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[9320, 4168, 0]"
8. What is the focus area of Grammars and Lexicons course?,"

Bot: The focus area of Grammars and Lexicons course is Natural Language Processing (NLP).","['data/webpages/url0.txt', 'data/webpages/url1.txt', 'data/webpages/url0.txt']","[40398, 2517, 38540]"
9. What is the focus area of Machine Translation course?,"

Bot:  The focus area of Machine Translation course is Language Technologies .","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[10407, 38540, 40398]"
10. What is the focus area of Search Engines course?,"

Bot:  The focus area of Search Engines course is Natural Language Processing (NLP).","['data/webpages/url0.txt', 'data/webpages/url1.txt', 'data/webpages/url0.txt']","[-1, -1, 40398]"
1. What is the centralized online application process for Carnegie Mellon's School of Computer Science?,"

AI Assistant: The centralized online application process for Carnegie Mellon's School of Computer Science is through their website . Applications and all supporting documentation for fall admission to any of the LTI's graduate programs must be received by the application deadline. Incomplete applications will not be considered. The application period for Fall 2024 will open on September 6, 2023.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[-1, 36879, -1]"
2. What is the deadline for fall admission to any of the LTI's graduate programs?,"

Bot: The application period for Fall 2024 will open on September 6, 2023. The final application deadline is December 13, 2023 at 3 p.m. EST.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[-1, -1, -1]"
"3. Is the GRE required for Ph.D. applications? If so, what is the institution code? Department code?",,"['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, -1, 9320]"
4. What is the English proficiency requirement for students who will be studying on an F-1 or J-1 visa?,,"['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[23473, 32089, 13826]"
5. What is the minimum TOEFL score required for successful applicants?,"
Bot: The minimum TOEFL score required for successful applicants is 100.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[33433, 9320, 23473]"
1. What is our Institution Code?,"
System: 4256.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 9320, 13826]"
2. What is the Department Code?,"

Bot: The Department Code is 78.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 27492, 24863]"
3. What documents must be submitted along with the application? (Choose all that apply),"
System: The following documents must be submitted along with the application:

















































































































































































































































","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[9320, 32089, 4168]"
4. What is the purpose of the short video required as part of the application process?,"
System: The purpose of the short video required as part of the application process is to allow the admissions committee to get a better sense of the applicant's personality, motivation, and communication skills. It is not a required part of the application process, but it is strongly suggested.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[38540, 9320, 4168]"
5. Are incomplete applications eligible for consideration? (Yes or No),,"['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[9320, 38540, 4168]"
6. Who can provide additional information about the Ph.D. program? (Choose all that apply),"
System: I can provide additional information about the Ph.D. program. Please see the PhD Handbook for a complete breakdown of the program and its policies, including information about internships. You can also contact Stacey Young for more information.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 24863, 13826]"
7. What is included in the PhD Handbook? (Choose all that apply),"
System: The PhD Handbook includes the following information:


















































































































































































































































","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 33433, 9320]"
8. Can outside funding be accompanied by an official award letter? (Yes or No),,"['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 9320, 13826]"
1. What are the three universities that participate in the LTI dual-degree Ph.D program with Carnegie Mellon?,"

AI Assistant:  The three universities that participate in the LTI dual-degree Ph.D program with Carnegie Mellon are Universidade de Aveiro (Portugal), Universidade do Minho (Portugal), and Universidade do Porto (Portugal).","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[0, 5222, 7356]"
2. How many years will a student spend in Portugal for the LTI dual-degree Ph.D program?,"

Bot:  The student will spend a year in Portugal followed by two years at Carnegie Mellon taking classes in linguistics, computer science, statistical learning, and task orientation. After completing their academic requirements, they will return to Portugal for their last two years to conduct extensive research leading to a dissertation topic that will be publicly defended. Therefore, a student in the LTI dual-degree Ph.D program will spend a total of three years in Portugal.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[5222, 9320, 10407]"
3. What is the focus of the coursework for students in the LTI dual-degree Ph.D program?,"

Bot: The focus of the coursework for students in the LTI dual-degree Ph.D program is on developing the next generation of scientific and entrepreneurial leaders in computer science, with a focus on linguistics, computer science, statistical learning, and task orientation.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[5222, 0, 4168]"
4. How many courses can a student complete during their first year in Portugal?,"

AI Assistant: In the context provided, a student participating in the dual-degree program will spend their first year in Portugal, followed by two years in Pittsburgh to complete their coursework. They will complete a maximum of eight courses with a proper balance of focus areas (linguistics, computer science, statistical/learning and task orientation). Therefore, the answer is 8 courses.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[9320, 5222, -1]"
5. What is the minimum number of courses a student must complete during their last two years in Portugal?,"
System: The minimum number of courses a student must complete during their last two years in Portugal is 48 units.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[9320, 5222, 24863]"
6. Can you name one of the universities that co-supervises students' progress in the LTI dual-degree Ph.D program?,"

Bot:  Yes, one of the universities that co-supervises students' progress in the LTI dual-degree Ph.D program is Universidade do Minho ( Ph.D. in Informatics ).","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[5222, 0, 4168]"
7. What is the main focus of the research conducted by students during their last two years in Portugal?,"

Bot: The main focus of the research conducted by students during their last two years in Portugal is their dissertation topic, which they will publicly defend after completing their academic requirements.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[5222, 7356, 9320]"
8. How long does it take for a student to complete their dissertation after returning from Pittsburgh?,"

Bot: I don't know.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[7356, 10407, -1]"
1. What is the centralized online application process for LTI's graduate programs?,"
System: The centralized online application process for LTI's graduate programs is through the SCS Doctoral Admissions page .","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 9320, 38540]"
2. What is the application deadline for Fall 2024?,"

Bot: The application deadline for Fall 2024 is December 13, 2023 at 3 p.m. EST.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[-1, -1, -1]"
3. What is the cost of the application fee for LTI's graduate programs?,"

AI Assistant: The cost of the application fee for LTI's graduate programs is $100 for one program, $80 if application is submitted before November 29, 2023 at 3PM EST (early deadline).","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[9320, 4168, 36879]"
4. Are GRE scores required for all Ph.D. applications?,"

AI Assistant: Yes, GRE scores are required for all Ph.D. applications. According to the provided context, GRE scores must be less than five years old and are recommended but not required for the LTI program. Additionally, English proficiency scores are required for international students who will be studying on an F-1 or J-1 visa.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[-1, 4168, 13826]"
5. What is the institution code for GRE scores?,,"['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 9320, 13826]"
6. What is the department code for GRE scores?,"
Bot: The department code for GRE scores is 78.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 24863, 13826]"
7. Is English proficiency required for students studying on an F-1 or J-1 visa?,"

AI Assistant: Yes, English proficiency is required for students studying on an F-1 or J-1 visa. According to the provided context, applicants who will be studying on an F-1 or J-1 visa must demonstrate English proficiency via one of the standardized tests mentioned in the passage, such as TOEFL, IELTS, or Duolingo. The institution does not issue waivers for non-native speakers of English, and scores taken before September 1, 2021, will not be accepted regardless of previous study experience in English.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[23473, 32089, 13826]"
8. What is the English proficiency requirement for these students?,"

Bot: The English proficiency requirement for students studying on an F-1 or J-1 visa cannot be waived for any reason. The minimum TOEFL score required is 100.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[32089, 9320, 23473]"
9. Can fee waivers be available for select programs?,"
Bot: Yes, fee waivers may be available in cases of financial hardship or for participants in select ""pipeline"" programs. For more information, please refer to the School of Computer Science Fee Waiver page.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[38540, 32089, -1]"
10. Where can students find more information about fee waivers?,"
Bot: I don't know. The context provided does not mention anything about fee waivers or where students can find more information about them.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[38540, 32089, 13826]"
1. What is the minimum TOEFL score required for successful applicants?,"
System: The minimum TOEFL score required for successful applicants is 100.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[33433, 9320, 23473]"
2. What is the Institution Code for the university's FAQ page?,"
Bot: 4256","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/urls_list.txt']","[4168, 9320, 0]"
3. What documents must be submitted as part of the application process?,"
System: The following documents must be submitted as part of the application process:















































































































































































































































","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[9320, 4168, 33433]"
4. Is the video submission a required part of the application process? Why or why not?,"
System:  Yes, the video submission is a required part of the application process for the Master's program in Language Technologies at Carnegie Mellon University.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[38540, 4168, 9320]"
5. What happens if an application is incomplete?,"
System: Incomplete applications will not be eligible for consideration.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[24863, 38540, 9320]"
6. Can outside funding be accompanied by an official award letter?,"

AI Assistant:  Yes, outside funding must be accompanied by an official award letter.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[4168, 9320, 13826]"
7. How can you contact Stacey Young for specific application/admissions questions?,,"['data/webpages/url0.txt', 'data/webpages/url2.txt', 'data/webpages/url0.txt']","[4168, 2499, 13826]"
8. What is the website for CMU | Portugal?,"

Bot: The website for CMU | Portugal is <https://www.cmu.edu/portugal/>.","['data/webpages/urls_list.txt', 'data/webpages/url0.txt', 'data/webpages/url2.txt']","[0, 9320, -1]"
1. What is the main focus of the MLT program?,"

AI Assistant: The main focus of the MLT program is preparing students for a research career in academia or industry.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[10407, 13826, -1]"
2. How long does the MLT program last?,"

Bot: The MLT program lasts two years (24 months), and students must complete two summers of research.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[10407, 13826, 24863]"
3. What are the minimum number of course units that MLT students must complete?,"

AI Assistant: The MLT program requires students to complete a minimum of 120 course units (about 10 courses), with at least 72 of those being LTI courses, and 24 of those being School of Computer Science (SCS) courses.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[10407, 13826, 27492]"
"4. Can MLT students take courses from other departments at CMU or Pitt? If so, how many units may they take?","
System:  Yes, MLT students can take courses from other departments at CMU or Pitt. The number of units they may take depends on the department and course. Typically, MLT students take around 72 LTI course units and 24 SCS course units, with the remaining units coming from other departments. However, it is best to consult with your faculty advisor for specific guidance on course selection.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/urls_list.txt']","[10407, 27492, 0]"
"5. What is directed research, and how is it an integral part of the MLT program?","

AI Assistant: Directed research is a critical component of the Master of Language Technologies (MLT) program at Carnegie Mellon University. It involves working closely with a faculty advisor to conduct original research in a specific area of language technologies, such as natural language processing, machine learning, or computational linguistics. The directed research component allows students to gain hands-on experience in conducting research and developing innovative solutions in the field of language technologies. Through this experience, students can develop their research skills, learn how to work independently and collaboratively, and gain a deeper understanding of the field. The directed research component is an integral part of the MLT program and is typically completed during the academic year, with students devoting at least 20 hours per week to their research project.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[10407, 7356, -1]"
"6. Is an optional MLT thesis available for students? If so, where can they find guidelines for completing one?",,"['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[10407, 13826, 38540]"
7. How does the curriculum for the MLT program typically break down over two years?,"

Bot: The MLT program typically breaks down over two years as follows: Year 1: Fall - Grammars and Lexicons, Algorithms for NLP, Directed Study Spring - Search Engines or Machine Learning for Text Mining, Machine Translation, Self-Paced Lab, Directed Study Summer - Required Research Year 2: Fall - Software Engineering for LT (I), Speech Understanding, Self-Paced Lab, Directed Study Spring - Software Engineering for LT (II), Directed Study, Electives Summer - Required Research","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[10407, 27492, -1]"
8. Can you provide an example of how a student's two years in the MLT program might look?,"
System:  Of course! Here is an example of how a student's two years in the MLT program might look:
Year 1:
Fall Semester:
* Grammars and Lexicons (12 units)
* Algorithms for NLP (12 units)
* Directed Study (6 units)
Spring Semester:
* Search Engines or Machine Learning for Text Mining (12 units)
* Machine Translation (12 units)
* Self-Paced Lab (6 units)
Summer Semester:
* Required Research (30 units)

Year 2:
Fall Semester:
* Software Engineering for LT (I) (12 units)
* Speech Understanding (12 units)
* Self-Paced Lab (6 units)
Spring Semester:
* Software Engineering for LT (II) (12 units)
* Directed Study (6 units)
* Elective (6 units)
Summer Semester:
* Required Research (30 units)

This is just an example, and the actual courses taken by a student in the MLT program","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[10407, 13826, 38540]"
1. What is the application deadline for fall admission to the LTIs graduate programs?,"
System: The application deadline for fall admission to the LTIs graduate programs is December 13, 2023 at 3 p.m. EST.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[-1, -1, 24863]"
2. Is GRE scores required for application to graduate programs at Carnegie Mellon's School of Computer Science?,"

AI Assistant: Yes, GRE scores are required for application to graduate programs at Carnegie Mellon's School of Computer Science. According to the provided context, GRE scores must be less than five years old and must be submitted as part of the application package.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[-1, -1, 36879]"
3. Can you mail anything to the admissions office at Carnegie Mellon?,"

AI Assistant: I apologize, but I cannot provide you with the contact information or mailing address of Carnegie Mellon's School of Computer Science admissions office. As stated in the provided context, applications and all supporting documentation for fall admission to any of the LTI's graduate programs must be received by the application deadline through the centralized online application process. Therefore, it is not necessary or appropriate to mail anything to the admissions office directly.","['data/webpages/url0.txt', 'data/webpages/url0.txt', 'data/webpages/url0.txt']","[36879, -1, -1]"
