paper_id,paper_title,author_name
4d74a5048b884e8bb3842240abf98915c619c8f8,Multi-Dimensional Evaluation of Text Summarization with In-Context Learning,Graham Neubig
5ea8eedcb31859c5730dd1da3804e1be529ffabb,A Gold Standard Dataset for the Reviewer Assignment Problem,Graham Neubig
659be1ff350634f50cc066d258ee6a45e697e552,SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing,Graham Neubig
74b05bba46db21e589a2cc0f916f81069b0368ef,Bridging the Gap: A Survey on Integrating (Human) Feedback for Natural Language Generation,Graham Neubig
7a5b44ea10a51708e18786595c8d70b18950da11,FacTool: Factuality Detection in Generative AI - A Tool Augmented Framework for Multi-Task and Multi-Domain Scenarios,Graham Neubig
88884b8806262a4095036041e3567d450dba39f7,Active Retrieval Augmented Generation,Graham Neubig
8e8a1489bf4d782d2435cdeb93f7d1f165747c63,Large Language Models Enable Few-Shot Clustering,Graham Neubig
9bce3661f01825ad56dc9d2b3d254fd9e3792360,Solving NLP Problems through Human-System Collaboration: A Discussion-based Approach,Graham Neubig
b4987da792dd45a84232cfb06d71b1c2ec488f38,Crossing the Threshold: Idiomatic Machine Translation through Retrieval Augmentation and Loss Weighting,Graham Neubig
c432aff446d55e72a28394a1508e760cc9a25c08,Why do Nearest Neighbor Language Models Work?,Graham Neubig
c5207241406586f4263b235667e004b71ea68953,Syntax and Semantics Meet in the “Middle”: Probing the Syntax-Semantics Interface of LMs Through Agentivity,Graham Neubig
cc1705fe421c70d85254b557634bd4669fdd49b0,DataFinder: Scientific Dataset Recommendation from Natural Language Descriptions,Graham Neubig
d5dd7230cccace7e77095d3b5fd8394850f59170,Multi-lingual and Multi-cultural Figurative Language Understanding,Graham Neubig
d6ae4c0679bdceb029f652efd2a854ac5ade772f,It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk,Graham Neubig
dbc368bc8b49347dd27679894524fa62f88492c9,Unlimiformer: Long-Range Transformers with Unlimited Length Input,Graham Neubig
e69684fb06a7b1fe621d7ef0c97fc2ca0e122c43,Prompt2Model: Generating Deployable Models from Natural Language Instructions,Graham Neubig
f640e89fcede075b4bde3b2fa0dc78f591589ba3,Improving Factuality of Abstractive Summarization via Contrastive Reward Learning,Graham Neubig
fd80f7f3673fc6ca02f192d5d73426f11a4be659,The Devil Is in the Errors: Leveraging Large Language Models for Fine-grained Machine Translation Evaluation,Graham Neubig
0f008e07d601e8f21d1df5db3d36e85484840083,GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets,Eric Nyberg
3a30217c4115777fb30c182c97cc77d34d065556,InPars-Light: Cost-Effective Unsupervised Training of Efficient Rankers,Eric Nyberg
61354e45bca908ad08f24e44bd507b4e1c958e6f,Chain-of-Skills: A Configurable Model for Open-Domain Question Answering,Eric Nyberg
45b7d6e09d11e496e941481056177cf0164b5278,GPT-Sentinel: Distinguishing Human and ChatGPT Generated Content,Bhiksha Ramakrishnan
06a8f2e3c4266196b008851f1ec7ef9f340809da,Advancing Regular Language Reasoning in Linear Recurrent Neural Networks,Alexander Rudnicky
2670612b5e11297cd9b98f4d7ff796725f77fe35,Structured Dialogue Discourse Parsing,Alexander Rudnicky
4b8d3ede673ddeab9dfb5184da6b748d7a526754,A Vector Quantized Approach for Text to Speech Synthesis on Real-World Spontaneous Speech,Alexander Rudnicky
9799c17fd287bb9e8d231fe032c6dbf9c0c9d675,"Overview of Robust and Multilingual Automatic Evaluation Metrics

for Open-Domain Dialogue Systems at DSTC 11 Track 4",Alexander Rudnicky
f743324682d5d50db9b114fa60b908f09c10c9a0,Learning to Ask Questions for Zero-shot Dialogue State Tracking,Alexander Rudnicky
14ddefae2be4b5bb50b9fcb4a085e45fbecb5c5c,Modeling Empathic Similarity in Personal Narratives,Maarten Sap
185ace5661963e2e1eb998e739e4110272a6bb43,COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements,Maarten Sap
27553f8bd9cbee90f6e65b9cdecadff0e7cc55ee,Riveter: Measuring Power and Social Dynamics Between Entities,Maarten Sap
57d65e85c62aef04dfb2a48380e415fbb790e5ee,Don't Take This Out of Context!: On the Need for Contextual Models and Evaluations for Stylistic Rewriting,Maarten Sap
85a5ffc509fa50c96b415e09ae87fb6e5f435b37,"BiasX: ""Thinking Slow"" in Toxic Content Moderation with Explanations of Implied Social Biases",Maarten Sap
9d2dc57903e99f33b9cf727c3903718751d82663,Improving Language Models with Advantage-based Offline Policy Gradients,Maarten Sap
a5731b32060909bfc8848fa5f7e1e14ca3b53240,From Dogwhistles to Bullhorns: Unveiling Coded Rhetoric with Language Models,Maarten Sap
a66ff335f5934fe7503a99d3eb3abed493994df1,NLPositionality: Characterizing Design Biases of Datasets and Models,Maarten Sap
a89c30ceca55783a1b2ff843eb6a4793e4a54b66,Don't Take This Out of Context! On the Need for Contextual Models and Evaluations for Stylistic Rewriting,Maarten Sap
c2850c897a179c07a25023029306600e0ea82f75,Queer In AI: A Case Study in Community-Led Participatory AI,Maarten Sap
d655f652d02251b45db43181c5e3c73dfc59cd51,"Value Kaleidoscope: Engaging AI with Pluralistic Human Values, Rights, and Duties",Maarten Sap
ddcd2bcc809bd0c2755a4a9487473d61ac327c50,Clever Hans or Neural Theory of Mind? Stress Testing Social Reasoning in Large Language Models,Maarten Sap
ea0585ed23e25d5f8682eb91f20c6ddbeb6a27b4,Towards Countering Essentialism through Social Bias Reasoning,Maarten Sap
1433b8d43d446fcc7f3e1370b22f744a4dd7c8e4,"To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing",Emma Strubell
45e50baac4d341f0cf1a40af096bfa9c3f555235,Understanding the Effect of Model Compression on Social Bias in Large Language Models,Emma Strubell
667ba2e8f1933b6c32e9672012526904b4c5dc31,Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research,Emma Strubell
71debf888acd57bb1baa4c146f31e58c66ea51af,On the Interactions of Structural Constraints and Data Resources for Structured Prediction,Emma Strubell
84d20ad9f42d80dfd5130a6362d5422be8a6bdc3,Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation,Emma Strubell
88549b4f48b9709acdfb8b9e41656b6d133c5390,Queer People are People First: Deconstructing Sexual Identity Stereotypes in Large Language Models,Emma Strubell
a815c3209e7baff4466dbf6e129129511f842b7e,Making Scalable Meta Learning Practical,Emma Strubell
b13da1161d65a8de7a96051b5bc68d5eaa8eb37b,Regularizing Self-training for Unsupervised Domain Adaptation via Structural Constraints,Emma Strubell
ba31ccac5fe5ea151727e8427e78bb300c35f899,Data-efficient Active Learning for Structured Prediction with Partial Annotation and Self-Training,Emma Strubell
aab2ed83bc3739a20e90ae1d97dcf45f3bc8e508,"AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization",Alexander Waibel
f3e237e794bc4cd8df7f3e31d0caa2f7ee8cd06b,"Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages",Alexander Waibel
f547c7ec86cbc0989e87f0e23f7e0b2cfc5259c3,Towards Efficient Simultaneous Speech Translation: CUNI-KIT System for Simultaneous Track at IWSLT 2023,Alexander Waibel
3aaf6a2cbad5850ad81ab5c163599cb3d523436f,Self-Refine: Iterative Refinement with Self-Feedback,Sean Welleck
ca991e0283a1c30a46eb585d9eb499fc0ec8ecc2,Inference-Time Policy Adapters (IPA): Tailoring Extreme-Scale LMs without Fine-tuning,Sean Welleck
075b751201f549daeba9840f78768f4ceb507e17,Identification of Nonlinear Latent Hierarchical Models,Eric P. Xing
8cc1cd002bfc36a8cba8bcbe63d32eacc656097f,StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields,Eric P. Xing
a0a79dad89857a96f8f71b14238e5237cbfc4787,Judging LLM-as-a-judge with MT-Bench and Chatbot Arena,Eric P. Xing
dcb4f2b9b0e6da0d629878d1ad0469aee3df2020,Understanding Masked Autoencoders via Hierarchical Latent Variable Models,Eric P. Xing
159100c8323fc558e4073a3a006f3f243aca3a60,Text Matching Improves Sequential Recommendation by Reducing Popularity Biases,Chenyan Xiong
275da3802142fc42f6fab2ce2104223b2e0ef40d,Fusion-in-T5: Unifying Document Ranking Signals for Improved Information Retrieval,Chenyan Xiong
cdfd0926ad26c3c95a02db2ae891b7d4a457429c,OpenMatch-v2: An All-in-one Multi-Modality PLM-based Information Retrieval Toolkit,Chenyan Xiong
0e84679cf0945a2868245ba2be68c90453e48f2e,Screen Correspondence: Mapping Interchangeable Elements between UIs,Jeffrey Bigham
3f261fb980858e39129af5bc8a6c8565d7bb8329,Exploring Stigmergic Collaboration and Task Modularity Through an Expert Crowdsourcing Annotation System: The Case of Storm Phenomena in the Euro-Atlantic Region,Jeffrey Bigham
7ee7d32c3e7f01f49c40e5ba7e0b4d5e9ea040c9,Nonverbal Communication through Expressive Objects,Jeffrey Bigham
8ab27849799286459465d2262f926354093b20a9,USB: A Unified Summarization Benchmark Across Tasks and Domains,Jeffrey Bigham
98abc6de98a24d599cf009a9670eaa5c97cba9bb,WebUI: A Dataset for Enhancing Visual UI Understanding with Web Semantics,Jeffrey Bigham
c84f0a204827065338c412ace037952900a1a279,Never-ending Learning of User Interfaces,Jeffrey Bigham
d757a58200254625c3326a32a1da6fa8eaa2eff3,Latent Phrase Matching for Dysarthric Speech,Jeffrey Bigham
f29922cbfaf825d5e1d4986dc01bda74b4d88e04,From User Perceptions to Technical Improvement: Enabling People Who Stutter to Better Use Speech Recognition,Jeffrey Bigham
e80f1b4c254a5c135f5f3416ba3a863f8ec4e06c,MDACE: MIMIC Documents Annotated with Code Evidence,Matt Gormley
ebb3d299213bae89b5d302cc3dfc36573ec83956,SummQA at MEDIQA-Chat 2023: In-Context Learning with GPT-4 for Medical Summarization,Matt Gormley
a71809bc20c51fc047eff57d3d1abce2aec978d3,The Roles of Symbols in Neural-based AI: They are Not What You Think!,Tom Mitchell
f406aceba4f29cc7cfbe7edb2f52f01374486589,The Internal State of an LLM Knows When its Lying,Tom Mitchell
3c6d1884d5f15577b76356a3f1e7da6ffba6e2bd,Do Privacy Labels Answer Users' Privacy Questions?,Norman Sadeh
3f165dae2310a5d8aa7294ffdc45573a51c957b8,Exploring Smart Commercial Building Occupants’ Perceptions and Notification Preferences of Internet of Things Data Collection in the United States,Norman Sadeh
88efd1663016c4170674c8f30067e7096b172598,Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores,Norman Sadeh
d07e77f0477c3568d64086ef4d50ea1fcff63b8c,ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels,Norman Sadeh
2386c6a7c40b5129960f2eb3c6be27db65b04c1f,Learning to Generate Equitable Text in Dialogue from Biased Training Data,Malihe Alikhani
2605bc92935ca67829e9542030be0e44ae81c22e,Learning Multimodal Cues of Children’s Uncertainty,Malihe Alikhani
604cc00ff6a4d57d97856b49be4df89452cf30a8,Findings of the Second WMT Shared Task on Sign Language Translation (WMT-SLT23),Malihe Alikhani
78ee30f94bfa9c08306cd2f5bf92e98240aa692d,Multilingual Content Moderation: A Case Study on Reddit,Malihe Alikhani
e2be92ff1ae2abdc05c1929d6d02623c58f37097,Image–text coherence and its implications for multimodal AI,Malihe Alikhani
ee866d0dd47351542e4924f14203a767dd03194a,A corpus of Persian literary text,Malihe Alikhani
f19180afd6cae7c241fa461eed122e4c04a14217,D-CALM: A Dynamic Clustering-based Active Learning Approach for Mitigating Bias,Malihe Alikhani
1527d3b661154ff7310fa2759b6dd0ddfd559492,Smaller Language Models are Better Black-box Machine-Generated Text Detectors,Taylor Berg-Kirkpatrick
15b08595533bfc640f4dd470ca7a2273badec20a,Towards Improving Harmonic Sensitivity and Prediction Stability for Singing Melody Extraction,Taylor Berg-Kirkpatrick
1f1a09e59dbd178aa0988ea8f96e780e36923c8a,Jointly modeling products and resource pages for task-oriented recommendation,Taylor Berg-Kirkpatrick
464edfd902f652d3ab6a25dbb6d9fa47cc3246a9,MusicLDM: Enhancing Novelty in Text-to-Music Generation Using Beat-Synchronous Mixup Strategies,Taylor Berg-Kirkpatrick
55324ec5662bbea2e226ce3d8e6258a62836e940,Universal Source Separation with Weakly Labelled Data,Taylor Berg-Kirkpatrick
924036c17537adc8574a1476bf13d9d17a6eebae,ClimaBench: A Benchmark Dataset For Climate Change Text Understanding in English,Taylor Berg-Kirkpatrick
c70c11d6de5eec2677eaa87fd3112068db6fedfe,CLIPSonic: Text-to-Audio Synthesis with Unlabeled Videos and Pretrained Language-Vision Models,Taylor Berg-Kirkpatrick
cb754310302086dfbbcd098263200e2a03f65874,Membership Inference Attacks against Language Models via Neighbourhood Comparison,Taylor Berg-Kirkpatrick
d9dc309f719233be9f2a6b6910072e537f96eec8,Contrastive Attention Networks for Attribution of Early Modern Print,Taylor Berg-Kirkpatrick
5db8c4cc8742f410d6c40a3f23eeb4739d10d0fe,Pre-computed memory or on-the-fly encoding? A hybrid approach to retrieval augmentation makes the most of your compute,William Cohen
bc603b3878dd8638254f3746b892100cad687ea5,Pathogenic mechanisms underlying adverse neurodevelopmental outcome in congenital heart disease,Madhavi Ganapathiraju
de52a2f746c5cf145ee2af3a978ee1942eec1a57,"Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials",Madhavi Ganapathiraju
10127fa44054eb985ede206113b96aac3a96fd80,The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics,Alon Lavie
5579d38636b898c6a67ad67a16a80dd83be0f8d4,Towards Multilingual Automatic Dialogue Evaluation,Alon Lavie
5c920b2326282d93ad2ac3d1cb8f746bd7ab6f50,Results of WMT23 Metrics Shared Task: Metrics Might Be Guilty but References Are Not Innocent,Alon Lavie
9364720b2ab9ac67bc08e2b0b49aadded3d4e2e5,Appropriateness is all you need!,Alon Lavie
9e8f125ef479af7e95ee5b8949b24e750c7df367,Towards Multilingual Automatic Open-Domain Dialogue Evaluation,Alon Lavie
bcefc74b20649fd41ea05d87a3fa512d2559fc8d,Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation,Alon Lavie
