Question,Answer
"What time does the course 82183 AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures begin?",09:30AM
"What time does the course 82183 AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures end?",10:50AM
"What days does the course 82183 AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures meet?","Monday, Tuesday, Wednesday, ThursdayFriday"
"What is the location of the course 82183 AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 82183 AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures?",PH 225B
"How many units is the course 82183 AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures?",9.0
"Who are the instructors of the course 82183 AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures?","Su, Zhao"
What is the course number of Japanese Film and Literature: The Art of Storytelling?,82278
What is the name of course number 82278?,Japanese Film and Literature: The Art of Storytelling
What time does the course 82278 Japanese Film and Literature: The Art of Storytelling begin?,11:00AM
What time does the course 82278 Japanese Film and Literature: The Art of Storytelling end?,12:20PM
What days does the course 82278 Japanese Film and Literature: The Art of Storytelling meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 82278 Japanese Film and Literature: The Art of Storytelling?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 82278 Japanese Film and Literature: The Art of Storytelling?,PH A21
How many units is the course 82278 Japanese Film and Literature: The Art of Storytelling?,9.0
Who are the instructors of the course 82278 Japanese Film and Literature: The Art of Storytelling?,Yasuhara
What is the course number of Sound Recording Workshop?,57342
What is the name of course number 57342?,Sound Recording Workshop
What time does the course 57342 Sound Recording Workshop begin?,06:30PM
What time does the course 57342 Sound Recording Workshop end?,07:50PM
What days does the course 57342 Sound Recording Workshop meet?,"Monday, Wednesday, "
What is the location of the course 57342 Sound Recording Workshop?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 57342 Sound Recording Workshop?,CFA A6
How many units is the course 57342 Sound Recording Workshop?,6.0
Who are the instructors of the course 57342 Sound Recording Workshop?,"Sullivan, Tchetchko"
What is the course number of Introduction to Ethics?,80130
What is the name of course number 80130?,Introduction to Ethics
What time does the course 80130 Introduction to Ethics begin?,11:00AM
What time does the course 80130 Introduction to Ethics end?,12:20PM
What days does the course 80130 Introduction to Ethics meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 80130 Introduction to Ethics?,"A19A Pittsburgh, Pennsylvania"
What is the building and room number of the course 80130 Introduction to Ethics?,PH
How many units is the course 80130 Introduction to Ethics?,9.0
Who are the instructors of the course 80130 Introduction to Ethics?,Pasetes
What is the course number of Arguments and Logical Analysis?,80212
What is the name of course number 80212?,Arguments and Logical Analysis
What time does the course 80212 Arguments and Logical Analysis begin?,03:30PM
What time does the course 80212 Arguments and Logical Analysis end?,04:50PM
What days does the course 80212 Arguments and Logical Analysis meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 80212 Arguments and Logical Analysis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 80212 Arguments and Logical Analysis?,PH 126A
How many units is the course 80212 Arguments and Logical Analysis?,9.0
Who are the instructors of the course 80212 Arguments and Logical Analysis?,Sink
What is the course number of Introduction to Psychology?,85102
What is the name of course number 85102?,Introduction to Psychology
What time does the course 85102 Introduction to Psychology begin?,12:30PM
What time does the course 85102 Introduction to Psychology end?,01:50PM
What days does the course 85102 Introduction to Psychology meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 85102 Introduction to Psychology?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 85102 Introduction to Psychology?,BH 336B
How many units is the course 85102 Introduction to Psychology?,9.0
Who are the instructors of the course 85102 Introduction to Psychology?,Cox-Boyd
What is the course number of Reasoning with Data?,36200
What is the name of course number 36200?,Reasoning with Data
What time does the course 36200 Reasoning with Data begin?,12:30PM
What time does the course 36200 Reasoning with Data end?,01:50PM
What days does the course 36200 Reasoning with Data meet?,"Monday, Wednesday, Friday"
What is the location of the course 36200 Reasoning with Data?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 36200 Reasoning with Data?,BH A36
How many units is the course 36200 Reasoning with Data?,9.0
Who are the instructors of the course 36200 Reasoning with Data?,Weinberg
